GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gdfkube-camel,gov.gdf.camel.routes,StatusEmitterRoute,134,41,13,0,34,15,9,3,2,3
gdfkube-camel,gov.gdf.camel.routes,RepoBootstrapRoute,0,79,0,2,0,22,0,5,0,4
gdfkube-camel,gov.gdf.camel.routes,HelmRenderRoute,128,52,3,1,29,21,5,4,3,4
gdfkube-camel,gov.gdf.camel.routes,ConfigReloadRoute,76,41,8,0,19,15,6,3,2,3
gdfkube-camel,gov.gdf.camel.routes,GitPushRoute,24,210,1,1,4,43,1,7,0,7
gdfkube-camel,gov.gdf.camel.routes,RequestRouterRoute,93,201,7,17,16,50,6,14,1,7
gdfkube-camel,gov.gdf.camel.routes,AuditSinkRoute,0,74,1,1,0,26,1,5,0,5
gdfkube-camel,gov.gdf.camel.routes,OrgBootstrapRoute,248,312,25,13,49,72,24,11,7,9
gdfkube-camel,gov.gdf.camel.routes,DlqHeaders,2,87,1,5,1,15,1,3,0,1
gdfkube-camel,gov.gdf.camel.routes,DlqHandlerRoute,161,29,2,0,34,10,3,3,2,3
gdfkube-camel,gov.gdf.camel.bean,StageUpdater,16,51,2,2,5,11,2,3,0,3
gdfkube-camel,gov.gdf.camel.bean,HelmTemplateRunner,62,95,6,2,12,14,7,4,3,4
gdfkube-camel,gov.gdf.camel.bean,GitRepoBootstrapper,0,35,0,2,0,8,0,4,0,3
gdfkube-camel,gov.gdf.camel.bean,HelmValuesBuilder,259,174,16,0,51,37,17,6,9,6
gdfkube-camel,gov.gdf.camel.bean,AuditInterceptor,6,36,0,0,2,9,0,3,0,3
gdfkube-camel,gov.gdf.camel.bean,FormDefCache,38,12,0,0,9,3,3,2,3,2
gdfkube-camel,gov.gdf.camel.git,MockGitProvider.MockCommit,9,19,0,0,3,7,3,2,3,2
gdfkube-camel,gov.gdf.camel.git,GiteaGitProvider,391,0,18,0,93,0,16,0,7,0
gdfkube-camel,gov.gdf.camel.git,RepoOptions,24,24,0,0,8,9,5,3,5,3
gdfkube-camel,gov.gdf.camel.git,GitAuthor,6,16,0,0,2,5,2,2,2,2
gdfkube-camel,gov.gdf.camel.git,MockGitProvider,45,180,1,3,9,29,1,10,0,9
gdfkube-camel,gov.gdf.camel.model,StageEvent,67,0,4,0,11,0,5,0,3,0
gdfkube-camel,gov.gdf.camel.model,RequestEvent,0,3,0,0,0,1,0,1,0,1
gdfkube-camel,gov.gdf.camel.model,AuditEvent,3,22,0,0,1,8,1,1,1,1
